"matricula","carrera","periodo","numRepPrev","año","semestre","recursada","cantidad_asig","tasa_rep_carga","tasa_rep_asig","quintil_asig","asignatura","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc_asig","tasa_rep_doc","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","año_encurso","complejidad_carga4","complejidad_carga","complejidad_carga5","semestre_Otoño","carga_aprobada","recursando","total_recursando","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular"
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201801,0,2018,"Primavera",0,4,20.9549949560774,6.89655172413793,3,"PrÃ¡cticas Profesionales I",1096,1012,1156,1108,1108,7.66666666666667,6.89655172413793,5.40540540540541,2014,1,1,0,1,0,5,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201803,0,2018,"Otoño",0,5,7.64054798504665,4.69798657718121,3,"AnÃ¡lisis de grandes volÃºmenes de datos",1096,1012,1156,1108,1108,8.25,0,0,2014,1,1,0,1,0,5,3,6,2,1,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,5,5.64879421559449,10.126582278481,4,"DiseÃ±o multimedia",1096,1012,1156,1108,1108,8.4,0,38.3419689119171,2014,1,1,0,1,0,6,3,6,3,0,0,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201903,1,2019,"Otoño",0,7,4.85051220384086,2.4390243902439,2,"TeorÃ­a de la informaciÃ³n",1096,1012,1156,1108,1108,8.2,3.33333333333333,3.37078651685393,2014,0,0.857142857142857,1,3,0.2,6,3,6,3,1,1,0,0,0,"Irregular",0,1,0
140300058,"Ingeniería en Datos e Inteligencia Organizacional",202001,0,2020,"Primavera",0,3,2.85395763656633,7.69230769230769,3,"TIC para la salud",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.42857142857143,3.33333333333333,4.5045045045045,2014,1,0.875,0,1,0,7,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",202003,0,2020,"Otoño",0,1,4.54545454545454,4.54545454545454,3,"PrÃ¡cticas Profesionales preespecialidad: InnovaciÃ³n en TIC",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8,4.54545454545454,5.40540540540541,2014,1,0.888888888888889,0,1,0,7,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",202101,0,2021,"Primavera",0,3,6.27461646973491,4.65116279069767,3,"CÃ³mputo ubicuo",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,9,0,2.84552845528455,2014,1,0.9,0,1,0,8,3,6,1,0,0,1,1,0,"",0,0,0
140300058,"Ingeniería en Datos e Inteligencia Organizacional",202103,2,2021,"Otoño",1,2,7.08634330925353,12.4183006535948,4,"MinerÃ­a de datos",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,7,0,48.1949458483754,2014,0,0.818181818181818,0,4,0.666666666666667,8,4,5,1,1,1,1,2,0,"Condicionado",1,0,0
140300177,"Ingeniería en Datos e Inteligencia Organizacional",202103,0,2021,"Otoño",0,3,29.5002318459524,39.4736842105263,5.2,"OrganizaciÃ³n y diseÃ±o de computadoras",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.4,8.95522388059702,8.57814336075205,2014,0,0,0,1,0,8,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300177,"Ingeniería en Datos e Inteligencia Organizacional",202201,0,2022,"Primavera",0,5,22.8844246311043,39.9659863945578,5.2,"Sistemas operativos POSIX",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.66666666666667,15.3153153153153,8.57814336075205,2014,1,1,0,1,0,9,4,5,1,0,1,0,0,0,"Regular",0,0,1
